Type,Genus,Species,Fossil type,Dispersal unit,Isodiametric tetrad or anisodiametric tetrad,Aperture type,Amb shape (polar view shape),Exine ornamentation (surface),Tetrad diameter (D) (µm),Individual cell equatorial diameter (d) (µm),Individual cell polar axis (P) or Monad polar axis (P) (µm),Septum (septal exine) thickness (Se) (µm),Exine thickness (Ex) (µm),Tetrad diameter/Cell equatorial diameter (D/d),Cell P/E axis ratio (P/d),Ex/Se,Monad equatorial diameter (E),Monad P/E axis ratio (P/E),Cell big polar axis (µm),Equatorial shape,"Aperture length (2f for tetrad, L for monad) (µm)",Aperture width (W) (µm),2f/W or L/W,2f/D
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,3,0,23.3,16.28,12.29,1.81,2.38,1.43,0.75,1.31,NA,NA,NA,5,14.22,1.23,11.56,0.61
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,3,0,21.2,15.44,10.2,1.67,1.64,1.37,0.66,0.98,NA,NA,NA,5,14.59,1.54,9.47,0.69
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,3,0,23.15,17.77,12.72,2.14,2.39,1.3,0.72,1.12,NA,NA,NA,5,14.62,0.85,17.2,0.63
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,1,0,23.98,17.35,12.7,1.7,2.49,1.38,0.73,1.46,NA,NA,NA,5,13.5,0.76,17.76,0.56
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,3,0,21.43,17.02,11.72,1.87,2.48,1.26,0.69,1.33,NA,NA,NA,5,12.03,0.64,18.8,0.56
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,3,0,20.84,14.15,9.97,3.05,1.72,1.47,0.7,0.56,NA,NA,NA,5,12.47,0.89,14.01,0.6
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,3,0,21.08,17.6,11.43,1.59,1.83,1.2,0.65,1.15,NA,NA,NA,5,14.54,0.69,21.07,0.69
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,3,0,21.04,14.99,9.81,1.85,2.75,1.4,0.65,1.49,NA,NA,NA,5,15.46,0.98,15.78,0.73
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,3,0,22.23,17.6,11.83,1.96,2.44,1.26,0.67,1.24,NA,NA,NA,5,14.36,1.06,13.55,0.65
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,3,0,22.5,17.05,12.27,1.37,2.26,1.32,0.72,1.65,NA,NA,NA,5,17.73,0.82,21.62,0.79
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,3,0,22.95,17.58,11.67,1.66,2.21,1.31,0.66,1.33,NA,NA,NA,5,14.7,0.88,16.7,0.64
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,3,0,30.05,22.93,15.38,1.94,2.61,1.31,0.67,1.35,NA,NA,NA,5,17.45,1.02,17.11,0.58
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,3,0,25.97,16.14,13.58,1.59,2.25,1.61,0.84,1.42,NA,NA,NA,5,16.92,0.97,17.44,0.65
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,3,0,23.16,15.33,13.16,1.33,2.84,1.51,0.86,2.14,NA,NA,NA,5,15.89,0.69,23.03,0.69
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,3,0,23.5,18.83,11.78,1.99,2.29,1.25,0.63,1.15,NA,NA,NA,5,13.07,0.72,18.15,0.56
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,3,0,31.37,23.01,15.56,2.65,2.8,1.36,0.68,1.06,NA,NA,NA,5,20.56,0.85,24.19,0.66
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,3,0,25.46,19.24,14.78,1.36,1.81,1.32,0.77,1.33,NA,NA,NA,5,15.79,1.08,14.62,0.62
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,3,0,19.35,13.1,10.34,1.7,2.96,1.48,0.79,1.74,NA,NA,NA,5,14.25,0.8,17.81,0.74
Reference,Sprengelia,Sprengelia incarnata,NA,2,1,3,3,0,21.02,15.66,11.44,1.56,2.09,1.34,0.73,1.34,NA,NA,NA,5,13.19,0.69,19.12,0.63
Reference,Sprengelia,Sprengelia sprengelioides,NA,2,1,3,1,1,61.4,42.56,33.3,4.64,2.62,1.44,0.78,0.56,NA,NA,NA,5,38.02,1.51,25.18,0.62
Reference,Sprengelia,Sprengelia sprengelioides,NA,2,1,3,1,6,60.58,40.73,31.28,3.24,2.88,1.49,0.77,0.89,NA,NA,NA,5,41.79,1.15,36.34,0.69
Reference,Sprengelia,Sprengelia sprengelioides,NA,2,1,3,2,6,63.32,41.57,32.21,4.75,2.18,1.52,0.77,0.46,NA,NA,NA,5,39.23,1.06,37.01,0.62
Reference,Sprengelia,Sprengelia sprengelioides,NA,2,1,3,2,6,61.51,40.11,31.78,4.85,3.84,1.53,0.79,0.79,NA,NA,NA,5,43.51,1.39,31.3,0.71
Reference,Sprengelia,Sprengelia sprengelioides,NA,2,1,3,2,1,61.81,39.64,33.65,3.5,3.71,1.56,0.85,1.06,NA,NA,NA,5,41.97,0.93,45.13,0.68
Reference,Sprengelia,Sprengelia sprengelioides,NA,2,1,3,2,6,60.12,41.47,30.79,3.77,3.24,1.45,0.74,0.86,NA,NA,NA,5,41.95,1.11,37.79,0.7
Reference,Sprengelia,Sprengelia sprengelioides,NA,2,1,3,2,6,53.74,36.24,28.42,4.39,4.14,1.48,0.78,0.94,NA,NA,NA,5,38.9,1.51,25.76,0.72
Reference,Sprengelia,Sprengelia sprengelioides,NA,2,1,3,2,6,66.43,40.89,33.94,4.26,3.92,1.62,0.83,0.92,NA,NA,NA,5,40.69,1.93,21.08,0.61
Reference,Sprengelia,Sprengelia sprengelioides,NA,2,1,3,2,6,65.94,40.81,33.1,4.14,3.83,1.62,0.81,0.93,NA,NA,NA,5,45.2,1.1,41.09,0.69
Reference,Sprengelia,Sprengelia sprengelioides,NA,2,1,3,2,6,62.49,39.52,29.63,4.17,4.42,1.58,0.75,1.06,NA,NA,NA,5,43.94,1.53,28.72,0.7
Reference,Sprengelia,Sprengelia sprengelioides,NA,2,1,3,2,6,56.43,39.64,31.81,4.49,2.67,1.42,0.8,0.59,NA,NA,NA,5,41.85,1.27,32.95,0.74
Reference,Sprengelia,Sprengelia sprengelioides,NA,2,1,3,2,6,56.41,38.83,30.16,4.7,3.3,1.45,0.78,0.7,NA,NA,NA,5,42.98,1.09,39.43,0.76
Reference,Sprengelia,Sprengelia sprengelioides,NA,2,1,3,2,6,58.69,40.04,33.51,3.51,3.07,1.47,0.84,0.87,NA,NA,NA,5,38.91,3.3,11.79,0.66
Reference,Sprengelia,Sprengelia sprengelioides,NA,2,1,3,2,6,62.4,42.68,33.45,3.39,3.14,1.46,0.78,0.93,NA,NA,NA,5,40.04,1.37,29.23,0.64
Reference,Sprengelia,Sprengelia sprengelioides,NA,2,1,3,2,6,59.18,39.59,31.42,2.73,2.95,1.49,0.79,1.08,NA,NA,NA,5,38.93,0.84,46.35,0.66
Reference,Sprengelia,Sprengelia sprengelioides,NA,2,1,3,2,6,59.06,39.89,32.08,5.05,3.52,1.48,0.8,0.7,NA,NA,NA,5,43.05,2.1,20.5,0.73
Reference,Sprengelia,Sprengelia sprengelioides,NA,2,1,3,2,6,57.11,39.85,31.91,4.52,4.98,1.43,0.8,1.1,NA,NA,NA,5,40.4,1.79,22.57,0.71
Reference,Sprengelia,Sprengelia sprengelioides,NA,2,1,3,2,6,60.7,38.65,29.71,2.39,3.16,1.57,0.77,1.32,NA,NA,NA,5,34.92,1.26,27.71,0.58
Reference,Sprengelia,Sprengelia sprengelioides,NA,2,1,3,2,6,56.95,39.09,29.28,3.99,4,1.46,0.75,1,NA,NA,NA,5,34.17,1.44,23.73,0.6
Reference,Sprengelia,Sprengelia sprengelioides,NA,2,1,3,2,6,61.25,35.77,31.63,3,2.9,1.71,0.88,0.97,NA,NA,NA,5,43.3,1.2,36.08,0.71
Reference,Sprengelia,Sprengelia sprengelioides,NA,2,1,3,2,6,56.38,38.93,30.85,4.06,3.27,1.45,0.79,0.81,NA,NA,NA,5,36.83,1.16,31.75,0.65
Reference,Sprengelia,Sprengelia sprengelioides,NA,2,1,3,1,6,55.71,39.68,29.36,4.37,2.42,1.4,0.74,0.55,NA,NA,NA,5,40.54,1.42,28.55,0.73
Reference,Sprengelia,Sprengelia sprengelioides,NA,2,1,3,2,6,59.2,38.06,30.91,4.18,2.78,1.56,0.81,0.67,NA,NA,NA,5,42.37,0.82,51.67,0.72
Reference,Sprengelia,Sprengelia sprengelioides,NA,2,1,3,2,6,60.03,39.8,34.04,3.19,3.54,1.51,0.86,1.11,NA,NA,NA,5,41.97,1.81,23.19,0.7
Reference,Sprengelia,Sprengelia sprengelioides,NA,2,1,3,2,6,66.28,37.69,30.9,4.13,5.1,1.76,0.82,1.23,NA,NA,NA,5,37.63,2.47,15.23,0.57
Reference,Sprengelia,Sprengelia sprengelioides,NA,2,1,3,2,1,62.22,40.14,31.57,3.66,3.4,1.55,0.79,0.93,NA,NA,NA,5,35.54,1.79,19.85,0.57
Reference,Sprengelia,Sprengelia sprengelioides,NA,2,1,3,2,1,55.61,36.96,28.64,3.18,2.79,1.5,0.77,0.88,NA,NA,NA,5,32.65,1.6,20.41,0.59
Reference,Sprengelia,Sprengelia sprengelioides,NA,2,1,3,2,1,58.19,37.16,30.34,4.28,3.56,1.57,0.82,0.83,NA,NA,NA,5,36.9,1.53,24.12,0.63
Reference,Sprengelia,Sprengelia sprengelioides,NA,2,1,3,2,1,58.39,38.76,30.06,2.97,2.79,1.51,0.78,0.94,NA,NA,NA,5,33.51,3.61,9.28,0.57
Reference,Sprengelia,Sprengelia sprengelioides,NA,2,1,3,2,1,59.99,38.81,31.39,3.32,3.84,1.55,0.81,1.16,NA,NA,NA,5,36.47,1.8,20.26,0.61
Reference,Sprengelia,Sprengelia sprengelioides,NA,2,1,3,2,1,57.68,38.63,29.17,4.17,3.05,1.49,0.76,0.73,NA,NA,NA,5,36.34,0.9,40.38,0.63
Reference,Sprengelia,Sprengelia sprengelioides,NA,2,1,3,2,1,60.94,37.28,28.76,2.62,2.82,1.63,0.77,1.08,NA,NA,NA,5,33.82,1.19,28.42,0.55
Reference,Sprengelia,Sprengelia sprengelioides,NA,2,1,3,2,1,65.57,40.62,33.04,3.31,3.41,1.61,0.81,1.03,NA,NA,NA,5,34.01,1.75,19.43,0.52
Reference,Sprengelia,Sprengelia sprengelioides,NA,2,1,3,2,1,61.29,36.32,31.62,3.41,3.22,1.69,0.87,0.94,NA,NA,NA,5,40.46,2.49,16.25,0.66
Reference,Sprengelia,Sprengelia sprengelioides,NA,2,1,3,2,1,57.56,40.95,32.05,3.09,2.98,1.41,0.78,0.96,NA,NA,NA,5,41.04,1.42,28.9,0.71
Reference,Sprengelia,Sprengelia sprengelioides,NA,2,1,3,2,1,53.62,38.08,31.6,2.82,4.4,1.41,0.83,1.56,NA,NA,NA,5,35.3,1.64,21.52,0.66
Reference,Sprengelia,Sprengelia sprengelioides,NA,2,1,3,2,1,54.23,38.65,28.99,2.89,3.41,1.4,0.75,1.18,NA,NA,NA,5,37.59,1.06,35.46,0.69
Reference,Sprengelia,Sprengelia sprengelioides,NA,2,1,3,2,1,62.65,43.28,32.35,3.77,4.09,1.45,0.75,1.08,NA,NA,NA,5,43.12,1.58,27.29,0.69
Reference,Sprengelia,Sprengelia sprengelioides,NA,2,1,3,2,1,66.6,39.24,33.1,3.97,3.5,1.7,0.84,0.88,NA,NA,NA,5,41.54,1.81,22.95,0.62
Reference,Sprengelia,Sprengelia sprengelioides,NA,2,1,3,2,1,56.98,38.18,28.48,3.46,4.16,1.49,0.75,1.2,NA,NA,NA,5,38.12,1.64,23.24,0.67
Reference,Styphelia,Styphelia laeta,NA,1,NA,0,1,2,NA,NA,57.25,NA,4.58,NA,NA,NA,57.25,1,NA,4,NA,NA,NA,NA
Reference,Styphelia,Styphelia laeta,NA,1,NA,0,1,2,NA,NA,56.08,NA,4.51,NA,NA,NA,56.08,1,NA,4,NA,NA,NA,NA
Reference,Styphelia,Styphelia laeta,NA,1,NA,0,1,2,NA,NA,100.62,NA,3.86,NA,NA,NA,94.56,1.06,NA,6,NA,NA,NA,NA
Reference,Styphelia,Styphelia laeta,NA,1,NA,0,1,2,NA,NA,82.37,NA,3.73,NA,NA,NA,80.44,1.02,NA,6,NA,NA,NA,NA
Reference,Styphelia,Styphelia laeta,NA,1,NA,0,1,2,NA,NA,64.42,NA,5.38,NA,NA,NA,64.42,1,NA,4,NA,NA,NA,NA
Reference,Styphelia,Styphelia laeta,NA,1,NA,0,1,2,NA,NA,78.68,NA,5.19,NA,NA,NA,78.88,1,NA,4,NA,NA,NA,NA
Reference,Styphelia,Styphelia laeta,NA,1,NA,0,1,2,NA,NA,56.1,NA,6.6,NA,NA,NA,54.98,1.02,NA,6,NA,NA,NA,NA
Reference,Styphelia,Styphelia laeta,NA,1,NA,0,1,2,NA,NA,67.3,NA,4.24,NA,NA,NA,67.3,1,NA,4,NA,NA,NA,NA
Reference,Styphelia,Styphelia laeta,NA,1,NA,0,1,2,NA,NA,57.98,NA,4.42,NA,NA,NA,57.98,1,NA,4,NA,NA,NA,NA
Reference,Styphelia,Styphelia laeta,NA,1,NA,0,1,2,NA,NA,50.03,NA,3.41,NA,NA,NA,50.03,1,NA,4,NA,NA,NA,NA
Reference,Styphelia,Styphelia laeta,NA,1,NA,0,1,2,NA,NA,51.18,NA,4.49,NA,NA,NA,51.18,1,NA,4,NA,NA,NA,NA
Reference,Styphelia,Styphelia laeta,NA,1,NA,0,1,2,NA,NA,51.46,NA,4.22,NA,NA,NA,51.46,1,NA,4,NA,NA,NA,NA
Reference,Styphelia,Styphelia laeta,NA,1,NA,0,1,2,NA,NA,72.7,NA,3.68,NA,NA,NA,72.7,1,NA,4,NA,NA,NA,NA
Reference,Styphelia,Styphelia laeta,NA,1,NA,0,1,2,NA,NA,48.52,NA,3.82,NA,NA,NA,48.52,1,NA,4,NA,NA,NA,NA
Reference,Styphelia,Styphelia laeta,NA,1,NA,0,1,2,NA,NA,54.57,NA,3.32,NA,NA,NA,54.57,1,NA,4,NA,NA,NA,NA
Reference,Styphelia,Styphelia laeta,NA,1,NA,0,1,2,NA,NA,60.72,NA,3.31,NA,NA,NA,60.72,1,NA,4,NA,NA,NA,NA
Reference,Styphelia,Styphelia laeta,NA,1,NA,0,1,2,NA,NA,77.38,NA,4.19,NA,NA,NA,77.14,1,NA,4,NA,NA,NA,NA
Reference,Styphelia,Styphelia laeta,NA,1,NA,0,1,2,NA,NA,61.06,NA,4.1,NA,NA,NA,61.06,1,NA,4,NA,NA,NA,NA
Reference,Styphelia,Styphelia laeta,NA,1,NA,0,1,2,NA,NA,65.8,NA,4.56,NA,NA,NA,65.8,1,NA,4,NA,NA,NA,NA
Reference,Styphelia,Styphelia laeta,NA,1,NA,0,1,2,NA,NA,59.03,NA,5.41,NA,NA,NA,59.03,1,NA,4,NA,NA,NA,NA
Reference,Styphelia,Styphelia laeta,NA,1,NA,0,1,2,NA,NA,73.23,NA,4.34,NA,NA,NA,73.93,0.99,NA,4,NA,NA,NA,NA
Reference,Styphelia,Styphelia laeta,NA,1,NA,0,1,2,NA,NA,71.14,NA,4.09,NA,NA,NA,71.14,1,NA,4,NA,NA,NA,NA
Reference,Styphelia,Styphelia laeta,NA,1,NA,0,1,2,NA,NA,76.88,NA,4.34,NA,NA,NA,74.68,1.03,NA,6,NA,NA,NA,NA
Reference,Styphelia,Styphelia laeta,NA,1,NA,0,1,2,NA,NA,55.01,NA,4.78,NA,NA,NA,55.01,1,NA,4,NA,NA,NA,NA
Reference,Styphelia,Styphelia laeta,NA,1,NA,0,1,2,NA,NA,51.38,NA,3.87,NA,NA,NA,51.38,1,NA,4,NA,NA,NA,NA
Reference,Styphelia,Styphelia laeta,NA,1,NA,0,1,2,NA,NA,89.25,NA,5.43,NA,NA,NA,89.25,1,NA,4,NA,NA,NA,NA
Reference,Styphelia,Styphelia laeta,NA,1,NA,0,1,2,NA,NA,91.96,NA,4.1,NA,NA,NA,91.96,1,NA,4,NA,NA,NA,NA
Reference,Styphelia,Styphelia laeta,NA,1,NA,0,1,2,NA,NA,69.81,NA,4.27,NA,NA,NA,69.81,1,NA,4,NA,NA,NA,NA
Reference,Styphelia,Styphelia laeta,NA,1,NA,0,1,2,NA,NA,64.66,NA,4.27,NA,NA,NA,64.66,1,NA,4,NA,NA,NA,NA
Reference,Styphelia,Styphelia laeta,NA,1,NA,0,1,2,NA,NA,59.95,NA,3.82,NA,NA,NA,59.95,1,NA,4,NA,NA,NA,NA
Reference,Styphelia,Styphelia laeta,NA,1,NA,0,1,2,NA,NA,65.36,NA,4.6,NA,NA,NA,65.36,1,NA,4,NA,NA,NA,NA
Reference,Styphelia,Styphelia laeta,NA,1,NA,0,1,2,NA,NA,80.74,NA,5.29,NA,NA,NA,80.74,1,NA,4,NA,NA,NA,NA
Reference,Styphelia,Styphelia laeta,NA,1,NA,0,1,2,NA,NA,60.04,NA,4.7,NA,NA,NA,60.04,1,NA,4,NA,NA,NA,NA
Reference,Styphelia,Styphelia triflora,NA,1,NA,0,1,2,NA,NA,67.57,NA,2.35,NA,NA,NA,67.24,1,NA,6,NA,NA,NA,NA
Reference,Styphelia,Styphelia triflora,NA,1,NA,0,1,2,NA,NA,56.17,NA,3,NA,NA,NA,56.67,0.99,NA,4,NA,NA,NA,NA
Reference,Styphelia,Styphelia triflora,NA,1,NA,0,1,2,NA,NA,63.95,NA,3.06,NA,NA,NA,64.27,1,NA,4,NA,NA,NA,NA
Reference,Styphelia,Styphelia triflora,NA,1,NA,0,1,2,NA,NA,53.25,NA,3.68,NA,NA,NA,53.32,1,NA,4,NA,NA,NA,NA
Reference,Styphelia,Styphelia triflora,NA,1,NA,0,1,2,NA,NA,51.43,NA,2.44,NA,NA,NA,53.38,0.96,NA,4,NA,NA,NA,NA
Reference,Styphelia,Styphelia triflora,NA,1,NA,0,1,2,NA,NA,57.1,NA,2.33,NA,NA,NA,57.38,1,NA,4,NA,NA,NA,NA
Reference,Styphelia,Styphelia triflora,NA,1,NA,0,1,2,NA,NA,57.27,NA,2.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reference,Styphelia,Styphelia triflora,NA,1,NA,0,1,2,NA,NA,48.14,NA,2.57,NA,NA,NA,47.97,1,NA,6,NA,NA,NA,NA
Reference,Styphelia,Styphelia triflora,NA,1,NA,0,1,2,NA,NA,62.29,NA,3.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reference,Styphelia,Styphelia triflora,NA,1,NA,0,1,2,NA,NA,NA,NA,2.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reference,Styphelia,Styphelia triflora,NA,1,NA,0,1,2,NA,NA,NA,NA,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reference,Styphelia,Styphelia triflora,NA,1,NA,0,1,2,NA,NA,77.04,NA,7.35,NA,NA,NA,76.25,1.01,NA,6,NA,NA,NA,NA
Reference,Styphelia,Styphelia triflora,NA,1,NA,0,1,2,NA,NA,82.02,NA,4.75,NA,NA,NA,84.89,0.97,NA,4,NA,NA,NA,NA
Reference,Styphelia,Styphelia triflora,NA,1,NA,0,1,2,NA,NA,80.7,NA,4.12,NA,NA,NA,81.42,0.99,NA,4,NA,NA,NA,NA
Reference,Styphelia,Styphelia triflora,NA,1,NA,0,1,2,NA,NA,89.9,NA,5.66,NA,NA,NA,84.57,1.06,NA,6,NA,NA,NA,NA
Reference,Styphelia,Styphelia triflora,NA,1,NA,0,1,2,NA,NA,78.65,NA,4.72,NA,NA,NA,81.58,0.96,NA,4,NA,NA,NA,NA
Reference,Styphelia,Styphelia triflora,NA,1,NA,0,1,2,NA,NA,82.55,NA,3.74,NA,NA,NA,84.37,0.98,NA,4,NA,NA,NA,NA
Reference,Styphelia,Styphelia triflora,NA,1,NA,0,1,2,NA,NA,82.34,NA,4.74,NA,NA,NA,80.38,1.02,NA,6,NA,NA,NA,NA
Reference,Styphelia,Styphelia triflora,NA,1,NA,0,1,2,NA,NA,77.05,NA,4.22,NA,NA,NA,78.47,0.98,NA,4,NA,NA,NA,NA
Reference,Styphelia,Styphelia triflora,NA,1,NA,0,1,2,NA,NA,86.65,NA,4.52,NA,NA,NA,86.27,1,NA,4,NA,NA,NA,NA
Reference,Styphelia,Styphelia triflora,NA,1,NA,0,1,2,NA,NA,79.89,NA,4.71,NA,NA,NA,79,1.01,NA,6,NA,NA,NA,NA
Reference,Styphelia,Styphelia triflora,NA,1,NA,0,1,2,NA,NA,78.08,NA,3.88,NA,NA,NA,82.28,0.95,NA,4,NA,NA,NA,NA
Reference,Styphelia,Styphelia triflora,NA,1,NA,0,1,2,NA,NA,81.96,NA,4,NA,NA,NA,82.1,1,NA,4,NA,NA,NA,NA
Reference,Styphelia,Styphelia triflora,NA,1,NA,0,1,2,NA,NA,72.43,NA,4.71,NA,NA,NA,74.23,0.98,NA,4,NA,NA,NA,NA
Reference,Styphelia,Styphelia triflora,NA,1,NA,0,1,2,NA,NA,80.06,NA,4.71,NA,NA,NA,75.95,1.05,NA,6,NA,NA,NA,NA
Reference,Styphelia,Styphelia triflora,NA,1,NA,0,1,2,NA,NA,73.2,NA,4.1,NA,NA,NA,73.2,1,NA,4,NA,NA,NA,NA
Reference,Styphelia,Styphelia triflora,NA,1,NA,0,1,2,NA,NA,81.93,NA,4.78,NA,NA,NA,82.89,0.99,NA,4,NA,NA,NA,NA
Reference,Styphelia,Styphelia triflora,NA,1,NA,0,1,2,NA,NA,74.62,NA,4.23,NA,NA,NA,73.47,1.02,NA,6,NA,NA,NA,NA
Reference,Styphelia,Styphelia triflora,NA,1,NA,0,1,2,NA,NA,79.79,NA,4.51,NA,NA,NA,81.46,0.98,NA,4,NA,NA,NA,NA
Reference,Styphelia,Styphelia triflora,NA,1,NA,0,1,2,NA,NA,74.27,NA,4.31,NA,NA,NA,75.71,0.98,NA,4,NA,NA,NA,NA
Reference,Styphelia,Styphelia triflora,NA,1,NA,0,1,2,NA,NA,80.44,NA,4.6,NA,NA,NA,77.87,1.03,NA,6,NA,NA,NA,NA
Reference,Styphelia,Styphelia triflora,NA,1,NA,0,1,2,NA,NA,59.89,NA,6.18,NA,NA,NA,63.13,0.95,NA,4,NA,NA,NA,NA
Reference,Styphelia,Styphelia triflora,NA,1,NA,0,1,2,NA,NA,66.66,NA,6.76,NA,NA,NA,64.87,1.03,NA,6,NA,NA,NA,NA
Reference,Styphelia,Styphelia triflora,NA,1,NA,0,1,2,NA,NA,64.13,NA,5.91,NA,NA,NA,68.45,0.94,NA,4,NA,NA,NA,NA
Reference,Styphelia,Styphelia triflora,NA,1,NA,0,1,2,NA,NA,69.61,NA,7.12,NA,NA,NA,70.19,0.99,NA,4,NA,NA,NA,NA
Reference,Styphelia,Styphelia triflora,NA,1,NA,0,1,2,NA,NA,60.87,NA,6.4,NA,NA,NA,61.3,0.99,NA,4,NA,NA,NA,NA
Reference,Styphelia,Styphelia triflora,NA,1,NA,0,1,2,NA,NA,70.11,NA,7.52,NA,NA,NA,65.41,1.07,NA,6,NA,NA,NA,NA
Reference,Styphelia,Styphelia viridis,NA,1,NA,0,1,2,NA,NA,56.38,NA,2.87,NA,NA,NA,54.59,1.03,NA,6,NA,NA,NA,NA
Reference,Styphelia,Styphelia viridis,NA,1,NA,0,1,2,NA,NA,53.6,NA,3.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reference,Styphelia,Styphelia viridis,NA,1,NA,0,1,2,NA,NA,60.08,NA,3.17,NA,NA,NA,59.52,1.01,NA,6,NA,NA,NA,NA
Reference,Styphelia,Styphelia viridis,NA,1,NA,0,1,2,NA,NA,58.33,NA,2.86,NA,NA,NA,58.35,1,NA,4,NA,NA,NA,NA
Reference,Styphelia,Styphelia viridis,NA,1,NA,0,1,2,NA,NA,60.59,NA,3.11,NA,NA,NA,59.17,1.02,NA,6,NA,NA,NA,NA
Reference,Styphelia,Styphelia viridis,NA,1,NA,0,1,2,NA,NA,60.51,NA,2.57,NA,NA,NA,62.84,0.96,NA,4,NA,NA,NA,NA
Reference,Styphelia,Styphelia viridis,NA,1,NA,0,1,2,NA,NA,58.67,NA,2.98,NA,NA,NA,58.48,1,NA,6,NA,NA,NA,NA
Reference,Styphelia,Styphelia viridis,NA,1,NA,0,1,2,NA,NA,56.02,NA,2.54,NA,NA,NA,60.13,0.93,NA,4,NA,NA,NA,NA
Reference,Styphelia,Styphelia viridis,NA,1,NA,0,1,2,NA,NA,63.22,NA,3.17,NA,NA,NA,63.49,1,NA,4,NA,NA,NA,NA
Reference,Styphelia,Styphelia viridis,NA,1,NA,0,1,2,NA,NA,59.76,NA,3.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reference,Styphelia,Styphelia viridis,NA,1,NA,0,1,2,NA,NA,55.06,NA,3.48,NA,NA,NA,54.84,1,NA,6,NA,NA,NA,NA
Reference,Styphelia,Styphelia viridis,NA,1,NA,0,1,2,NA,NA,59.87,NA,2.22,NA,NA,NA,60.3,0.99,NA,4,NA,NA,NA,NA
Reference,Styphelia,Styphelia viridis,NA,1,NA,0,1,2,NA,NA,60,NA,2.59,NA,NA,NA,60.92,0.98,NA,4,NA,NA,NA,NA
Reference,Styphelia,Styphelia viridis,NA,1,NA,0,1,2,NA,NA,61.6,NA,3.17,NA,NA,NA,63.3,0.97,NA,4,NA,NA,NA,NA
Reference,Styphelia,Styphelia viridis,NA,1,NA,0,1,2,NA,NA,54.11,NA,2.38,NA,NA,NA,58.08,0.93,NA,4,NA,NA,NA,NA
Reference,Styphelia,Styphelia viridis,NA,1,NA,0,1,2,NA,NA,62.05,NA,2.54,NA,NA,NA,62.25,1,NA,4,NA,NA,NA,NA
Reference,Styphelia,Styphelia viridis,NA,1,NA,0,1,2,NA,NA,58.43,NA,3.02,NA,NA,NA,52.08,1.12,NA,6,NA,NA,NA,NA
Reference,Styphelia,Styphelia viridis,NA,1,NA,0,1,2,NA,NA,59.62,NA,2.7,NA,NA,NA,54.97,1.08,NA,6,NA,NA,NA,NA
Reference,Styphelia,Styphelia viridis,NA,1,NA,0,1,2,NA,NA,43.79,NA,2.78,NA,NA,NA,42.94,1.02,NA,6,NA,NA,NA,NA
Reference,Styphelia,Styphelia viridis,NA,1,NA,0,1,2,NA,NA,61.1,NA,2.38,NA,NA,NA,59.41,1.03,NA,6,NA,NA,NA,NA
Reference,Styphelia,Styphelia viridis,NA,1,NA,0,1,2,NA,NA,56.94,NA,2.71,NA,NA,NA,57.86,0.98,NA,4,NA,NA,NA,NA
Reference,Styphelia,Styphelia viridis,NA,1,NA,0,1,2,NA,NA,44.78,NA,3.49,NA,NA,NA,42.86,1.04,NA,6,NA,NA,NA,NA
Reference,Styphelia,Styphelia viridis,NA,1,NA,0,1,2,NA,NA,44.56,NA,3.25,NA,NA,NA,43.43,1.03,NA,6,NA,NA,NA,NA
Reference,Styphelia,Styphelia viridis,NA,1,NA,0,1,2,NA,NA,72.1,NA,2.56,NA,NA,NA,70.84,1.02,NA,6,NA,NA,NA,NA
Reference,Styphelia,Styphelia viridis,NA,1,NA,0,1,2,NA,NA,63.19,NA,2.22,NA,NA,NA,62.38,1.01,NA,6,NA,NA,NA,NA
Reference,Styphelia,Styphelia viridis,NA,1,NA,0,1,2,NA,NA,65.38,NA,2.46,NA,NA,NA,64.16,1.02,NA,6,NA,NA,NA,NA
Reference,Styphelia,Styphelia viridis,NA,1,NA,0,1,2,NA,NA,46.32,NA,2.86,NA,NA,NA,44.12,1.05,NA,6,NA,NA,NA,NA
